question,answer
"How to file an FIR?","To file an FIR, visit your nearest police station and provide all relevant details about the incident. The police will register your complaint and give you a copy of the FIR."
"What is the process for lost and found items?","If you have lost an item, visit the nearest police station and provide details about the item. If someone has found it, they may have submitted it to the police."
"What documents are needed for passport verification?","For passport verification, you need to provide proof of address, proof of identity, and a copy of your passport application."
"Hello": "Hello! How can I assist you today?",
    "Hi": "Hi there! How can I help you?",
    "Hii": "Hi there! How can I help you?",
    "hlo": "Hello! How can I assist you today?",
    "Good morning": "Good morning! How can I assist you today?",
    "Good afternoon": "Good afternoon! How can I help you?",
    "Good evening": "Good evening! How can I assist you today?",
    "Hey": "Hey! How can I help you?",
    "What's up?": "Not much, just here to help you! How can I assist you today?",
    "How are you?": "I'm just a chatbot, but I'm here and ready to help you! How can I assist you today?",

    # Police Procedures
    "How to file an FIR?": "To file an FIR, visit your nearest police station and provide all relevant details about the incident. The police will register your complaint and give you a copy of the FIR.",
    "What is the process for lost and found items?": "If you have lost an item, visit the nearest police station and provide details about the item. If someone has found it, they may have submitted it to the police.",
    "What documents are needed for passport verification?": "For passport verification, you need to provide proof of address, proof of identity, and a copy of your passport application.",
    "How to report a missing person?": "To report a missing person, visit your nearest police station and provide details such as the person's name, age, photo, and last known location. The police will initiate a search and investigation.",
    "What should I do in case of a traffic accident?": "In case of a traffic accident, ensure everyone's safety, call the police, and provide details of the incident. Do not move the vehicles until the police arrive, unless it is necessary for safety.",
    "How to apply for a police clearance certificate?": "To apply for a police clearance certificate, visit your local police station with valid identification and proof of address. You may need to fill out an application form and pay a fee.",
    "What is the procedure for filing a domestic violence complaint?": "To file a domestic violence complaint, visit your nearest police station or women's helpline. Provide details of the incident, and the police will take necessary action to ensure your safety.",
    "How to report a theft?": "To report a theft, visit your nearest police station and provide details of the stolen items, the time of the incident, and any suspects. The police will register your complaint and investigate.",
    "What is the process for obtaining a gun license?": "To obtain a gun license, submit an application to your local police station along with necessary documents, such as proof of identity, address, and a valid reason for owning a firearm. The police will conduct a background check before issuing the license.",
    "How to report harassment or stalking?": "To report harassment or stalking, visit your nearest police station and provide details of the incidents, including any evidence such as messages or photos. The police will take appropriate action to protect you.",
    "What is the procedure for filing a noise complaint?": "To file a noise complaint, contact your local police station and provide details of the noise source, location, and time. The police will investigate and take necessary action.",
    "How to report a fraud or scam?": "To report a fraud or scam, visit your nearest police station and provide details of the incident, including any documents or communication related to the fraud. The police will investigate and take appropriate action.",
    "What is the process for obtaining a police escort?": "To obtain a police escort, contact your local police station and provide details of the event or situation requiring an escort. The police will assess the request and provide assistance if necessary.",
